system,sequence,ate_run1,ate_run2,ate_run3,ate_min,ate_max,ate_ratio,rte_ratio,cross1,cross10,ratio_ge2,ratio_ge10
ORB-SLAM3,MOO13,0.4726254531,2.1930169831,0.1260938239,0.1260938239,2.1930169831,17.391946054702842,1.979837192497338,True,False,True,True
ORB-SLAM3,MOO14,0.3169113182,0.3731573657,0.2410054201,0.2410054201,0.3731573657,1.5483359898925362,1.017647070608524,False,False,False,False
ORB-SLAM3,MOO15,0.0595442354,0.2473079299,0.3019984502,0.0595442354,0.3019984502,5.0718335397417835,1.194475534321265,False,False,True,False
ORB-SLAM3,MOO16,0.0109039167,0.0144573144,0.0113322148,0.0109039167,0.0144573144,1.3258826894743245,1.1184096640254069,False,False,False,False
OKVIS2,MGO01,0.3021558443,0.3108459469,0.3048518879,0.3021558443,0.3108459469,1.0287603326691637,1.0753164149369485,False,False,False,False
OKVIS2,MGO02,0.2487165164,0.2109070601,0.2002223241,0.2002223241,0.2487165164,1.2422017250972466,1.0461315938400175,False,False,False,False
OKVIS2,MGO03,0.0734070699,0.0679142298,0.0841695512,0.0679142298,0.0841695512,1.2393507435462368,1.0234905148661173,False,False,False,False
OKVIS2,MGO04,0.0967347746,0.1243508842,0.1282238075,0.0967347746,0.1282238075,1.325519266780821,1.0483369297644862,False,False,False,False
OKVIS2,MGO05,0.0200367971,0.0193606264,0.0183885642,0.0183885642,0.0200367971,1.0896335832462658,1.0743838950228863,False,False,False,False
OKVIS2,MGO06,0.0977675945,0.0976085742,0.0957745782,0.0957745782,0.0977675945,1.020809450038382,1.0397185583917197,False,False,False,False
OKVIS2,MGO07,0.0210001384,0.0212806063,0.0149313934,0.0149313934,0.0212806063,1.4252257461785183,1.024741575978836,False,False,False,False
OKVIS2,MGO08,0.0468533308,0.0269843546,0.0391060345,0.0269843546,0.0468533308,1.7363146717616882,1.0823138375524806,False,False,False,False
OKVIS2,MGO09,0.0079371755,0.0065309944,0.0085524906,0.0065309944,0.0085524906,1.3095234930839934,1.2660067696450126,False,False,False,False
OKVIS2,MGO10,0.0113899374,0.0078192131,0.0072832241,0.0072832241,0.0113899374,1.5638592529371709,1.0254774597345107,False,False,False,False
OKVIS2,MGO11,0.0153047958,0.0172822232,0.0145783793,0.0145783793,0.0172822232,1.185469443781038,1.1349165539311799,False,False,False,False
OKVIS2,MGO12,0.5530064076,0.4862510551,0.4413521316,0.4413521316,0.5530064076,1.2529822969138686,1.0053397287691048,False,False,False,False
OKVIS2,MGO13,0.7496345755,0.7880337606,0.7882367703,0.7496345755,0.7882367703,1.0514946829583636,1.0236485126912631,False,False,False,False
OKVIS2,MGO14,0.0832513757,0.0671285955,0.0684527557,0.0671285955,0.0832513757,1.240177529112761,1.0672368728743216,False,False,False,False
OKVIS2,MGO15,0.6701015911,0.5205362719,0.6234284191,0.5205362719,0.6701015911,1.2873292934113398,1.5615666133037605,False,False,False,False
OKVIS2,MIO01,76.1840386969,0.5044005317,53.2585690377,0.5044005317,76.1840386969,151.03877555428835,19.70502241435627,True,True,True,True
OKVIS2,MIO02,1.9105850525,1.8050401466,1.724932768,1.724932768,1.9105850525,1.1076287075903009,1.2874912592559804,False,False,False,False
OKVIS2,MIO03,0.0760546675,0.0638831391,0.0696302755,0.0638831391,0.0760546675,1.1905280261971347,1.10087087677105,False,False,False,False
OKVIS2,MIO04,0.187274114,0.1899261643,0.1868899245,0.1868899245,0.1899261643,1.0162461395825542,1.0135013921508733,False,False,False,False
OKVIS2,MIO05,0.049088804,0.0402068239,0.0390278896,0.0390278896,0.049088804,1.2577878154088045,1.9763032938552014,False,False,False,False
OKVIS2,MIO06,0.288624139,0.2745867299,0.3096661759,0.2745867299,0.3096661759,1.1277536099897303,1.240281667148362,False,False,False,False
OKVIS2,MIO07,0.0416598988,0.0328497144,0.0313607943,0.0313607943,0.0416598988,1.3284070040279559,1.0728326413982052,False,False,False,False
OKVIS2,MIO08,0.0462804173,0.0333287499,0.0511645026,0.0333287499,0.0511645026,1.535146165203154,1.0526467034655125,False,False,False,False
OKVIS2,MIO10,0.0290113619,0.0286513154,0.0234568731,0.0234568731,0.0290113619,1.2367957901430604,1.142655138720783,False,False,False,False
OKVIS2,MIO11,0.0482328733,0.0507401101,0.0612195146,0.0482328733,0.0612195146,1.2692487594347814,1.1108477423359773,False,False,False,False
OKVIS2,MIO12,0.9535039559,1.0037396659,0.9873983999,0.9535039559,1.0037396659,1.0526853713497004,1.0333697103400872,True,False,False,False
